Id;RowState;InsDate;InsUserId;UpdDate;UpdUserId;BrandId;Descr;ExtendedDescr;ProductTypeId;TyTypeId;TySeasonId;TyManufactureTypeId;WhSpokes;WhManufactureTypeId;WhManufacturePieces
60;1;2026-04-09 16:25:35.000;999;2026-04-09 16:25:35.000;999;74;(79,5|66,6+CL14/54) BULLONE M14X1,50 CONICO CH 17 + RING 79,5 | 66,6;NULL;4;NULL;NULL;NULL;NULL;NULL;NULL
61;1;2026-04-09 16:25:35.000;999;2026-04-09 16:25:35.000;999;74;(79,5|66,6+CM14/25) BULLONE M14X1,25 CONICO CH 17 + RING 79,5 | 66,6;NULL;4;NULL;NULL;NULL;NULL;NULL;NULL
62;1;2026-04-09 16:25:35.000;999;2026-04-09 16:25:35.000;999;74;(79,5|66,6+CR12/50) BULLONE M12X1,50 CONICO CH 17 + RING 79,5 | 66,6;NULL;4;NULL;NULL;NULL;NULL;NULL;NULL
63;1;2026-04-09 16:25:35.000;999;2026-04-09 16:25:35.000;999;74;(79,5|67,1+DN12/50) DADO M12X1,50 CONICO CH 19 + RING 79,5 | 67,1;NULL;4;NULL;NULL;NULL;NULL;NULL;NULL
64;1;2026-04-09 16:25:35.000;999;2026-04-09 16:25:35.000;999;74;(79,5|67,1+DN14/50) DADO M14X1,50 CONICO CH 19 + RING 79,5 | 67,1;NULL;4;NULL;NULL;NULL;NULL;NULL;NULL
65;1;2026-04-09 16:25:35.000;999;2026-04-09 16:25:35.000;999;74;(79,5|67,1+DO14/50) BULLONE M14X1,50 CONICO CH 19 + RING 79,5 | 67,1;NULL;4;NULL;NULL;NULL;NULL;NULL;NULL
66;1;2026-04-09 16:25:35.000;999;2026-04-09 16:25:35.000;999;74;(79,5|67,1+DT12/50) DADO M12X1,50 CONICO CH 21 + RING 79,5 | 67,1;NULL;4;NULL;NULL;NULL;NULL;NULL;NULL
67;1;2026-04-09 16:25:35.000;999;2026-04-09 16:25:35.000;999;74;(79,5|72,5+CL14/54) BULLONE M14X1,50 CONICO CH 17 + RING 79,5 | 72,5;NULL;4;NULL;NULL;NULL;NULL;NULL;NULL
68;1;2026-04-09 16:25:35.000;999;2026-04-09 16:25:35.000;999;74;(79,5|72,5+CM14/25) BULLONE M14X1,25 CONICO CH 17 + RING 79,5 | 72,5;NULL;4;NULL;NULL;NULL;NULL;NULL;NULL
69;1;2026-04-09 16:25:35.000;999;2026-04-09 16:25:35.000;999;74;(79,5|72,5+CR12/50) BULLONE M12X1,50 CONICO CH 17 + RING 79,5 | 72,5;NULL;4;NULL;NULL;NULL;NULL;NULL;NULL
